ID	Year_Birth	Education	Marital_Status	Income	Kidhome	Teenhome	Dt_Customer	Recency	MntWines	MntFruits	MntMeatProducts	MntFishProducts	MntSweetProducts	MntGoldProds	NumDealsPurchases	NumWebPurchases	NumCatalogPurchases	NumStorePurchases	NumWebVisitsMonth	AcceptedCmp3	AcceptedCmp4	AcceptedCmp5	AcceptedCmp1	AcceptedCmp2	Complain	Z_CostContact	Z_Revenue	Response
9369	1979	2n Cycle	Single	88194	0	1	19-03-2014	19	688	14	309	201	24	38	1	11	10	10	5	1	0	0	1	0	0	3	11	1
4477	1958	Graduation	Together	69096	0	1	27-09-2013	4	247	49	159	7	82	109	1	5	2	10	4	0	0	0	0	0	0	3	11	0
1357	1970	Graduation	Together	74854	1	2	08-04-2013	90	856	59	487	58	29	73	7	2	5	5	5	0	0	0	0	0	0	3	11	0
1402	1954	Master	Married	66991	0	0	11-09-2012	1	496	36	460	189	60	12	3	4	8	6	3	0	0	0	0	0	0	3	11	0
10629	1973	2n Cycle	Married		1	0	14-09-2012	25	25	3	43	17	4	17	3	3	0	3	8	0	0	0	0	0	0	3	11	0
6312	1959	Graduation	Married	65031	0	1	17-03-2013	29	258	107	291	84	37	86	4	10	3	13	7	0	0	0	0	0	0	3	11	0
8132	1975	PhD	Married	60631	1	1	05-04-2013	88	565	6	65	0	6	19	5	9	2	8	7	0	1	0	0	0	0	3	11	0
1050	1952	Graduation	Married	28332	0	0	30-04-2014	58	14	10	13	4	15	9	1	2	1	4	2	0	0	0	0	0	0	3	11	0
5846	1977	Graduation	Divorced	40246	1	0	19-12-2012	68	2	1	6	2	1	1	1	1	0	2	6	0	0	0	0	0	0	3	11	0
1859	1972	Master	Married	75251	0	0	27-08-2012	34	721	111	925	97	18	18	1	7	6	5	5	0	0	0	0	0	0	3	11	1
7503	1976	Graduation	Single	75825	0	0	12-10-2012	40	1032	105	779	137	105	51	0	5	8	9	4	1	0	0	0	0	0	3	11	1
10401	1976	2n Cycle	Together	26326	0	0	04-09-2013	12	1	0	5	0	3	9	1	0	0	3	3	0	0	0	0	0	1	3	11	0
1618	1965	Graduation	Together	56046	0	0	02-01-2013	9	577	0	64	0	0	51	2	10	1	8	8	1	0	0	0	0	0	3	11	1
3332	1985	Graduation	Single	29760	1	0	29-08-2012	87	64	4	68	7	5	17	4	3	1	4	8	0	0	0	0	0	0	3	11	0
2261	1969	Graduation	Married	26304	1	0	23-06-2013	5	4	1	5	2	0	4	1	1	0	2	7	0	0	0	0	0	0	3	11	0
5346	1973	2n Cycle	Married	23559	1	0	03-07-2013	87	25	5	19	7	0	23	3	3	0	3	7	0	0	0	0	0	0	3	11	0
4119	1963	Master	Together	38620	0	0	11-05-2013	56	112	17	44	34	22	89	1	2	5	3	3	0	0	0	0	0	0	3	11	0
535	1987	Graduation	Divorced	81361	0	0	25-02-2014	18	163	23	424	27	65	76	1	3	10	13	1	0	0	0	0	0	0	3	11	0
5268	1960	Graduation	Married	29440	1	1	11-08-2013	95	17	8	14	10	4	3	2	1	0	4	7	0	0	0	0	0	0	3	11	0
273	1970	Master	Married	36138	1	1	16-07-2013	48	130	0	16	0	0	5	5	3	1	4	7	0	1	0	0	0	0	3	11	0
4452	1957	Graduation	Single	50388	0	1	28-05-2014	3	292	6	37	0	3	34	4	6	1	6	7	0	1	0	1	0	0	3	11	1
8504	1973	Graduation	Married	79593	0	0	12-05-2014	70	350	60	568	110	133	145	1	5	6	7	2	0	0	1	0	0	0	3	11	0
771	1967	Graduation	Together	54178	0	1	21-01-2014	79	135	9	39	4	0	7	1	2	2	5	2	0	0	0	0	0	0	3	11	0
8996	1957	PhD	Married		2	1	19-11-2012	4	230	42	192	49	37	53	12	7	2	8	9	0	0	0	0	0	0	3	11	0
9235	1957	Graduation	Single		1	1	27-05-2014	45	7	0	8	2	0	1	1	1	0	2	7	0	0	0	0	0	0	3	11	0
5798	1973	Master	Together		0	0	23-11-2013	87	445	37	359	98	28	18	1	2	4	8	1	0	0	0	0	0	0	3	11	0
11178	1972	Master	Single	42394	1	0	23-03-2014	69	15	2	10	0	1	4	1	1	0	3	7	0	0	0	0	0	0	3	11	0
2230	1970	PhD	Married	23626	1	0	24-05-2014	84	27	2	14	0	0	0	3	3	1	3	5	0	0	0	0	0	0	3	11	0
7516	1983	Graduation	Married	30096	1	0	22-05-2014	30	5	3	11	12	5	9	1	2	0	3	6	0	0	0	0	0	0	3	11	0
7247	1960	Graduation	Widow	47916	0	1	22-11-2012	72	505	0	26	0	0	75	5	7	4	6	6	0	1	0	0	0	0	3	11	0
11100	1972	Graduation	Divorced	51813	1	1	11-04-2013	37	51	2	7	0	1	2	2	2	0	3	7	0	0	0	0	0	0	3	11	0
4646	1951	2n Cycle	Married	78497	0	0	01-12-2013	44	207	26	447	75	0	223	1	5	7	12	2	0	0	0	1	0	0	3	11	0
3037	1983	PhD	Married	50150	0	0	20-06-2013	32	135	46	92	65	61	11	2	5	2	7	5	0	0	0	0	0	0	3	11	0
